#yyy-mm-dd hh:mm:ss latency xfertime sleeptime bytes url rc op
2017-12-10 16:39:16.850 0.012352 0.000079 0 6423 /a6269931-07e2-4a24-9516-c92b7297d93e 200 GET
2017-12-10 16:39:16.851 0.019734 0.006508 0 645989 /e203424f-005b-4ef5-9712-904cde06b32d 200 GET
2017-12-10 16:39:16.852 0.031345 0.000056 0 6632 /a914ad8e-11a3-459d-9f5a-9d7a9e73023a 200 GET
2017-12-10 16:39:17.072 0.001072 0.000085 0 6642 /7e14c91b-ac25-4621-95b8-fc6a84632455 200 GET
2017-12-10 16:39:17.114 0.012083 0.000075 0 6710 /4a59885e-e407-4b33-a938-34c03a185add 200 GET
2017-12-10 16:39:17.280 0.011591 0.000060 0 6816 /689aa37f-4003-49df-8f01-6164cbad3b44 200 GET
2017-12-10 16:39:17.511 0.010890 0.001208 0 69616 /f0fc4597-b375-4b26-a8e4-1db9e4edea7c 200 GET
2017-12-10 16:39:17.533 0.005310 0.000559 0 70193 /fb155151-a57e-4aff-a86f-5090a2f0ed51 200 GET
2017-12-10 16:39:17.676 0.001261 0.000181 0 7113 /b188203b-205c-45f2-8dd6-badbcce3f672 200 GET
2017-12-10 16:39:17.841 0.012106 0.000139 0 7172 /0643dba3-018c-4756-842a-583429ed7315 200 GET
2017-12-10 16:39:17.850 0.009020 0.007114 0 719945 /7493b85c-19fd-4947-a0dd-04e0ad34d834 200 GET
2017-12-10 16:39:17.851 0.021478 0.001174 0 73520 /90c2d00f-d36a-424b-b425-692a357c5ecc 200 GET
2017-12-10 16:39:17.852 0.021026 0.000748 0 73525 /dea78fc4-f45f-4e90-9948-94ad2885f7b2 200 GET
2017-12-10 16:39:18.072 0.013218 0.000087 0 7364 /1b649ea1-a8f5-4e74-a129-2912bab756f0 200 GET
2017-12-10 16:39:18.114 0.001574 0.000518 0 75532 /7e4bd3f5-22c2-46bb-9da8-326c643c78d2 200 GET
2017-12-10 16:39:18.280 0.001405 0.000083 0 7590 /1170ede8-0fca-4ccb-8a86-86077170308d 200 GET
2017-12-10 16:39:18.511 0.001594 0.000543 0 78391 /302cabb9-7861-453a-bb26-eb8ef32a56b8 200 GET
2017-12-10 16:39:18.533 0.001886 0.000532 0 80805 /4e7849c0-1a79-4c0c-82bf-1186476d091b 200 GET
2017-12-10 16:39:18.589 0.001359 0.000528 0 81144 /e15b05db-446a-44ed-8f8b-de8964839fbe 200 GET
2017-12-10 16:39:18.676 0.008913 0.000108 0 8155 /f6541a18-6cdd-4d06-a6ae-971e27f3ab95 200 GET
2017-12-10 16:39:18.685 0.001553 0.000422 0 82399 /0cc7a31b-2ab1-4344-bf27-2d4474c137ab 200 GET
2017-12-10 16:39:18.829 0.001259 0.000074 0 8500 /f5198514-0769-4b39-b1a3-b0f1556a55fc 200 GET
2017-12-10 16:39:18.840 0.001391 0.000497 0 85224 /b66a3556-c812-4c67-9b32-d74c97ac87cd 200 GET
2017-12-10 16:39:18.850 0.001403 0.000663 0 85294 /d3733882-470f-4a63-9fd5-ec2528a28f40 200 GET
2017-12-10 16:39:18.851 0.001758 0.001379 0 85991 /1cab7c8e-6dab-4149-91e2-37515e06712f 200 GET
2017-12-10 16:39:18.852 0.016916 0.000080 0 8624 /4bbe0237-5b21-4e58-bacf-512716637f10 200 GET
2017-12-10 16:39:18.934 0.014650 0.000977 0 88923 /97c02897-577c-458f-9830-18a4f166f928 200 GET
2017-12-10 16:39:19.072 0.001171 0.000147 0 8959 /b458523a-032a-43db-80f2-35753872d1bb 200 GET
2017-12-10 16:39:19.114 0.000972 0.000103 0 9373 /dc278b98-5a4a-4e87-b7ae-fe695d7650bd 200 GET
2017-12-10 16:39:19.132 0.000912 0.000091 0 9488 /9cae37df-f9f3-434b-8bcf-6849b201c596 200 GET
2017-12-10 16:39:19.180 0.000874 0.000122 0 9854 /2e4e08c2-e701-491c-8d22-0f8ba27a6d6b 200 GET
2017-12-10 16:39:19.183 0.000919 0.000073 0 9883 /c18d2684-1ec9-430b-a823-6bee510ca370 200 GET
2017-12-10 16:39:19.676 0.001598 0.000830 0 101307 /c8a90d0f-8ed3-4d77-9705-df4e9ce806a3 200 GET
2017-12-10 16:39:19.685 0.001115 0.000075 0 10709 /abf5e438-7f69-4f15-a8a8-dc5a661c6ff9 200 GET
2017-12-10 16:39:19.829 0.001836 0.000603 0 108279 /9f667bd4-af12-49ce-8471-db32fdae0292 200 GET
2017-12-10 16:39:19.850 0.016783 0.000261 0 11089 /4331fd62-32c3-4037-bf09-28832e9d7d1c 200 GET
2017-12-10 16:39:19.840 0.014569 0.012378 0 1085716 /6a1f36e4-a7ca-4e8f-835c-a475328bacdd 200 GET
