#yyy-mm-dd hh:mm:ss latency xfertime thinktime bytes url rc op
2017-12-29 10:00:32.769 0.000656 0.000006 0 0 images/00007c04-83d2-4a47-bdb3-07c2dd507257 200 GET
2017-12-29 10:00:32.779 0.000516 0.000005 0 0 images/000071d3-03cf-42dc-82bb-c74e685ba123 200 GET
2017-12-29 10:00:32.779 0.095463 0.000006 0 0 images/0000741d-99cb-412d-bd37-9de8d054ba57 200 GET
2017-12-29 10:00:32.780 0.194372 0.000006 0 0 images/00008493-de6f-4c38-90d3-0eccf46ff80e 200 GET
2017-12-29 10:00:33.000 0.075035 0.000006 0 0 images/00008c85-49d3-48c6-91d8-1df5db0e9ea3 200 GET
2017-12-29 10:00:33.042 0.132549 0.000003 0 0 images/000085d6-0ebf-456e-9c72-3149ea47fefd 200 GET
2017-12-29 10:00:33.209 0.066323 0.000004 0 0 images/00009248-5804-4c04-a394-33ff4774c490 200 GET
2017-12-29 10:00:33.440 0.000284 0.000003 0 0 images/00009074-5800-4d15-b25d-15805bdecc04 200 GET
2017-12-29 10:00:33.462 0.013401 0.000003 0 0 images/000099d3-d0d5-4158-ab50-340bb0e2d629 200 GET
2017-12-29 10:00:33.605 0.000563 0.000004 0 0 images/00009319-1607-4450-88fd-1370abbb253a 200 GET
2017-12-29 10:00:33.769 0.000459 0.000004 0 0 images/0000b037-3d33-4d68-86d4-0c50b29e0575 200 GET
2017-12-29 10:00:33.779 0.000468 0.000004 0 0 images/0000aed1-e047-4b17-9bef-36a871978d09 200 GET
2017-12-29 10:00:33.779 0.097393 0.000007 0 0 images/0000a208-9c48-44f6-bf7b-238bfdc9228f 200 GET
2017-12-29 10:00:33.780 0.196449 0.000005 0 0 images/00009b19-9d88-41bd-82c9-02fc23416f27 200 GET
2017-12-29 10:00:34.000 0.076824 0.000007 0 0 images/0000ac76-f55e-4a16-8740-21e76225e80b 200 GET
2017-12-29 10:00:34.042 0.134634 0.000006 0 0 images/0000b322-9086-4588-9cdd-0e1e4e83f80f 200 GET
2017-12-29 10:00:34.209 0.068344 0.000004 0 0 images/00008b68-cd7d-4e2d-a45f-9ab8c2f10e5f 200 GET
2017-12-29 10:00:34.440 0.000660 0.000006 0 0 images/0000b322-9833-4ac2-b789-246b6dd87642 200 GET
2017-12-29 10:00:34.462 0.015775 0.000005 0 0 images/0000bcf9-d211-4fc9-91ab-20a5fb03cd4c 200 GET
2017-12-29 10:00:34.605 0.000668 0.000011 0 0 images/0000dfa9-0414-4a11-a638-30f68dab6395 200 GET
2017-12-29 10:00:34.769 0.000802 0.000005 0 0 images/0000c20b-ba98-4202-96d5-265de0204c21 200 GET
