#yyy-mm-dd hh:mm:ss latency xfertime thinktime bytes url rc op
2017-12-16 16:44:12.886 10.713055 0.000340 0 152217 customer_care/downloads/glo/kobo_glo_video_tutorial.pdf 200 GET
2017-12-16 16:44:16.886 7.518978 0.000107 0 43216 delete.tmo/au.html 200 GET
2017-12-16 16:44:14.886 18.993815 0.000436 0 149519 customer_care/downloads/mini/kobo_mini_video_tutorial.pdf 200 GET
2017-12-16 16:44:13.886 26.087183 0.004286 0 1188299 customer_care/downloads/mini/kobo_mini_ereader_user_guide_jp.pdf 200 GET
2017-12-16 16:44:15.886 38.870855 0.003482 0 752352 customer_care/downloads/touch/kobo_touch_print.pdf 200 GET
2017-12-16 16:42:01.886 184.016316 0.051869 0 22399996 apollojr/update-ota78-ota172.zip 200 GET
2017-12-16 16:45:07.886 3.164080 0.000034 0 470 email/kobo-love.png 200 GET
2017-12-16 16:45:08.886 3.266509 0.000044 0 1966 email/rakuten_kobo.gif 200 GET
2017-12-16 16:45:09.886 2.974159 0.000060 0 374 ereader/abtest/abtests.xml 200 GET
2017-12-16 16:45:06.886 26.770731 0.000389 0 114816 egifting/video/player.swf 200 GET
2017-12-16 16:45:00.886 38.401483 0.002577 0 757932 download/images/bdcddbc2-80fd-4f19-b1b5-6f7448cd8e21 200 GET
2017-12-16 16:45:15.886 23.887246 0.000703 0 749416 ereader/dictionaries/dicthtml-en-it.zip 200 GET
2017-12-16 16:45:12.886 28.807351 0.007194 0 708515 ereader/dictionaries/dicthtml-en-de.zip 200 GET
2017-12-16 16:45:01.886 49.773601 0.005367 0 602695 download/images/f214b32e-dbdb-4c53-ae2f-5cbcc8a61492 200 GET
2017-12-16 16:45:40.886 18.335016 0.007041 0 558549 ereader/dictionaries/v2/dicthtml-en-pt.zip 200 GET
2017-12-16 16:45:10.886 51.750324 0.005280 0 926221 ereader/dictionaries/dicthtml-de-en.zip 200 GET
2017-12-16 16:46:05.886 3.260744 0.000043 0 2057 favicon-96x96.png 200 GET
2017-12-16 16:45:58.886 13.684619 0.000998 0 396295 ereader/guide/dragon/userguide_de_DE.pdf 200 GET
2017-12-16 16:44:59.886 73.322816 0.005614 0 1165135 download/images/42cdfd7b-f963-4687-8d03-17490311c774 200 GET
2017-12-16 16:45:57.886 17.240923 0.000238 0 216378 ereader/guide/daylight/userguide_tr_tr.pdf 200 GET
2017-12-16 16:46:07.886 7.764993 0.000049 0 4839 firmwares/3hk/index.html 200 GET
2017-12-16 16:41:53.886 264.170798 0.024518 0 12804006 apollojr/apollojr-update-121-222.zip 200 GET
2017-12-16 16:45:35.886 42.491969 0.002329 0 749416 ereader/dictionaries/v2/dicthtml-en-it.zip 200 GET
2017-12-16 16:46:09.886 8.567115 0.000062 0 5196 firmwares/facebook/index.aspx 200 GET
2017-12-16 16:44:11.886 126.575330 0.011424 0 2555551 customer_care/downloads/glo/kobo_glo_ereader_user_guide_jp.pdf 200 GET
2017-12-16 16:46:08.886 10.898493 0.000038 0 5491 firmwares/facebook/facebook_app.html 200 GET
2017-12-16 16:46:11.886 7.898718 0.000023 0 2302 firmwares/kobo/Base.js 200 GET
2017-12-16 16:45:22.886 59.827424 0.001194 0 1019627 ereader/dictionaries/dicthtml-it-en.zip 200 GET
2017-12-16 16:45:13.886 70.732202 0.003344 0 1240125 ereader/dictionaries/dicthtml-en-es.zip 200 GET
2017-12-16 16:46:02.886 25.193978 0.000713 0 401314 ereader/guide/dragon/userguide_fr_CA.pdf 200 GET
2017-12-16 16:45:54.886 33.248030 0.000646 0 408636 ereader/guide/alyssum/userguide_de_DE.pdf 200 GET
2017-12-16 16:46:10.886 18.502459 0.000055 0 5080 firmwares/facebook/index.html 200 GET
2017-12-16 16:45:20.886 68.722000 0.006344 0 1586132 ereader/dictionaries/dicthtml-fr-en.zip 200 GET
2017-12-16 16:46:00.886 28.776902 0.002249 0 391149 ereader/guide/dragon/userguide_es_ES.pdf 200 GET
2017-12-16 16:46:03.886 25.878042 0.000492 0 401314 ereader/guide/dragon/userguide_fr_FR.pdf 200 GET
2017-12-16 16:45:51.886 41.745715 0.002040 0 513597 ereader/dictionaries/v2/dicthtml-pt-en.zip 200 GET
2017-12-16 16:46:06.886 31.426458 0.000240 0 57014 favicon.ico 200 GET
2017-12-16 16:46:01.886 39.572510 0.000828 0 444208 ereader/guide/dragon/userguide_es_MX.pdf 200 GET
2017-12-16 16:45:59.886 44.131327 0.000672 0 402548 ereader/guide/dragon/userguide_en_US.pdf 200 GET
2017-12-16 16:45:55.886 51.774080 0.011366 0 408636 ereader/guide/alyssum/userguide_de_de.pdf 200 GET
